# source:CJK 汉字拼音表——42856字 wangyanhan整理制作
# format = 1
㡟 zāo(zao1)
㡠 zhènɡ(zheng4)
㡡 chú(chu2)
㡢 màn(man4)
㡣 lónɡ(long2)
㡥 yìn(yin4)
㡦 pīn(pin1)
㡧 zhènɡ(zheng4)
㡨 jiān qiān(jian1 qian1)
㡩 luán(luan2)
㡪 nié(nie2)
㡫 yì(yi4)
㡭 jì(ji4)
㡮 jí(ji2)
㡯 dù duó zhái(du4 duo2 zhai2)
㡰 yǔ(yu3)
㡱 jiǔ(jiu3)
㡲 huán(huan2)
㡳 zhǐ(zhi3)
㡴 lā(la1)
㡵 línɡ(ling2)
㡶 zhǐ(zhi3)
㡷 běn(ben3)
㡸 chá zhǎ zhà(cha2 zha3 zha4)
㡹 jū(ju1)
㡺 dàn(dan4)
㡻 liào(liao4)
㡼 yì(yi4)
㡽 zhào(zhao4)
㡾 xiàn(xian4)
㡿 chì(chi4)
㢀 cì(ci4)
㢁 chǐ shǐ(chi3 shi3)
㢂 duī tuí yǎn(dui1 tui2 yan3)
㢃 lánɡ(lang2)
㢄 dòu(dou4)
㢅 lònɡ(long4)
㢆 chán(chan2)
㢈 duī tuí(dui1 tui2)
㢉 chá(cha2)
㢊 ǎi yǐ(ai3 yi3)
㢋 chǐ(chi3)
㢍 yǐng(ying3)
㢎 zhé(zhe2)
㢏 tóu yú yǔ(tou2 yu2 yu3)
㢑 tuí(tui2)
㢒 chá(cha2)
㢓 yǎo(yao3)
㢔 zǒng(zong3)
